name,short_meaning,img
The Fool,Watch for new projects and new beginnings. Prepare to take something on faith. Freeing yourself from limitation. Expressing joy and youthful vig,m00.jpg
The Magician,A powerful man may play a role in your day. Your current situation must be seen as one element of a much larger plan.,m01.jpg
The High Priestess,A mysterious woman arrives. A sexual secret may surface. Someone knows more than he or she will reveal. Listening to your feelings and,m02.jpg
The Empress,Pregnancy is in the cards. An opportunity to be involved in luxurious sexuality is coming. Beware a tendency toward addiction. Nurturing,m03.jpg
The Emperor,Exercising authority. Defining limits. Directing the flow of work. Micromanaging. Crushing the creativity of others with,m04.jpg
The Hierophant,Expect to be caught in a misdeed and punished accordingly. Pray for forgiveness and confess wrongdoings. A more experienced,m05.jpg
The Lovers,A new personal or professional relationship blossoms. Sexual opportunities abound. Aligning yourself with groups or like-minded others. Making well-,m06.jpg
The Chariot,Riding roughshod over the feelings or expectations of others. Focusing more on past successes than future opportunities. Failing to rein,m07.jpg
Strength,"Your self-control will be tested. A woman will seek to change her partner or lover. You are a strong, capable person.",m08.jpg
The Hermit,A period of loneliness begins. One partner in a relationship departs. A search for love or money proves fruitless. Becoming or,m09.jpg
Wheel of Fortune,Some events are in the hands of heaven. Allowing events to unfold. Seeing the larger pattern in everyday events. Trusting your luck,m10.jpg
Justice,A legal verdict will be rendered soon. Someone is making a decision. You need to get the facts. Weighing an issue carefully,m11.jpg
The Hanged Man,A traitor is revealed. One of your friends is working against you. Change your ways or suffer the consequences. Seeing growth opportunities in unpleasant,m12.jpg
Death,A relationship or illness ends suddenly. Limit travel and risk-taking. Obsessing on death and dying. Refusing to give up old,m13.jpg
Temperance,Someone's using drugs or alcohol to excess. It's time to get back on that diet. Bringing opposites together. Moderating your,m14.jpg
The Devil,Beware evil influences and wolves in sheep's clothing. Embracing the fact that everyone has a darker side. Putting excessive emphasis on,m15.jpg
The Tower,Someone wants to take you down a notch or two. Don't hold back; say what you really mean. Clearing the way for,m16.jpg
The Star,Get an astrology chart drawn up. Someone is a little too starstruck. What's happening now has long been fore-ord,m17.jpg
The Moon,Watch for problems at the end of the month. Someone you know needs to howl at the moon more often. Someone is about to,m18.jpg
The Sun,"Whatever's on your mind, go for it because you can't lose today. Everything's coming up roses (or sunflowers,",m19.jpg
Judgement,"An old issue you thought was over will come up again today. Get ready for huge changes: break-ups, sudden calls from old",m20.jpg
The World,Winning the lottery. Getting your heart's desire. Having everything you ever imagined having. Knowing and loving yourself as completely as possible.,m21.jpg
Ace of Cups,Romance is in the cards. A new relationship or marriage is just around the corner. Prayers are answered. Trust your feelings.,c01.jpg
Two of Cups,Relationships should be mutual; get rid of a leech. Someone has a secret crush on you. Longing for someone or something,c02.jpg
Three of Cups,"Unconventional romance is coming your way: a love affair with someone you've always dismissed. Expressing joy through song, dance,",c03.jpg
Four of Cups,"A lover is getting restless. Find out what he or she needs, or new opportunities may lure your partner away. Maintaining your",c04.jpg
Five of Cups,A breakup looms. Don't cry over spilt milk. Take your lumps and get back in the saddle. Acknowledging loss,c05.jpg
Six of Cups,"A stingy spirit is strangling your enjoyment of life. Loosen up and think of others for once, why don't you?",c06.jpg
Seven of Cups,"You're being fed a line. Rather than be dazzled by fancy words and promises, demand something real. Motivating yourself with images",c07.jpg
Eight of Cups,"Someone's ""stepping out"" on you, now or in the near future. Maybe it's time to quit talking about the problem",c08.jpg
Nine of Cups,"Being smug. Satisfying yourself at the expense of others. Over-indulging. Never being satisfied, no matter how much you",c09.jpg
Ten of Cups, marriage and family are in the cards. Expect a friendship to blossom into a romance. Having more than you ever dreamed.,c10.jpg
Page of Cups,"This card represents a young man or woman with a watery, dreamy demeanor, likely born a Libra, Scorpio, or",c11.jpg
